unified_id,month,zipcode,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
AIR10211875,2019-3,92315,Big Bear Lake,Professionals,3,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-4,92315,Big Bear Lake,Professionals,3,2,7,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-5,92315,Big Bear Lake,Professionals,3,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-6,92315,Big Bear Lake,Professionals,3,2,7,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-7,92315,Big Bear Lake,Professionals,3,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-8,92315,Big Bear Lake,Professionals,3,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10211875,2019-9,92315,Big Bear Lake,Professionals,3,2,7,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10226828,2019-10,92315,Big Bear Lake,Single Owners,4,2,10,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10226828,2019-3,92315,Big Bear Lake,Single Owners,4,2,10,2489.759949,31,0.193548387,414.9599915,2.5,3.0
AIR10226828,2019-5,92315,Big Bear Lake,Single Owners,4,2,10,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10226828,2019-6,92315,Big Bear Lake,Single Owners,4,2,10,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10226828,2019-8,92315,Big Bear Lake,Single Owners,4,2,10,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10226828,2019-9,92315,Big Bear Lake,Single Owners,4,2,10,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-3,92314,Big Bear City,Single Owners,5,5,16,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-4,92314,Big Bear City,Single Owners,5,5,16,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-5,92314,Big Bear City,Single Owners,5,5,16,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-6,92314,Big Bear City,Single Owners,5,5,16,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-7,92314,Big Bear City,Single Owners,5,5,16,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-8,92314,Big Bear City,Single Owners,5,5,16,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10255480,2019-9,92314,Big Bear City,Single Owners,5,5,16,0.0,26,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10297809,2019-5,92314,Big Bear City,Professionals,3,2,8,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10297809,2019-6,92314,Big Bear City,Professionals,3,2,8,0.0,1,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10308344,2019-1,92315,Big Bear Lake,Single Owners,3,1,9,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10308344,2019-2,92315,Big Bear Lake,Single Owners,3,1,9,0.0,28,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10308344,2019-3,92315,Big Bear Lake,Single Owners,3,1,9,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10308344,2019-4,92315,Big Bear Lake,Single Owners,3,1,9,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10308344,2019-5,92315,Big Bear Lake,Single Owners,3,1,9,0.0,4,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10344705,2019-1,92314,Big Bear City,2-5 Units,3,1,5,1504.789978,31,0.322580645,150.4789978,22.0,3.25
AIR10344705,2019-10,92314,Big Bear City,2-5 Units,3,1,5,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10344705,2019-11,92314,Big Bear City,2-5 Units,3,1,5,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10344705,2019-2,92314,Big Bear City,2-5 Units,3,1,5,2021.739944,28,0.464285714,155.5184573,19.25,2.5
AIR10344705,2019-3,92314,Big Bear City,2-5 Units,3,1,5,595.9199829,31,0.129032258,148.9799957,4.75,1.0
